اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
جامعة المجمعة,دورة تدريبية,التحسين المستمر باستخدام منهجية كايزن,3/1/2026,3/3/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0396
جامعة المجمعة,دورة تدريبية,الذكاء الاصطناعي في بيئة العمل,3/3/2026,3/5/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0397
الهيئة السعودية للمواصفات والمقاييس والجودة,ورشة عمل,ورشة العمل الخاصة باستراتيجية تقييس,2/5/2026,2/5/2026,فنادق,فندق بيريرا النخيل,الرياض,GOV-2026-0398
جامعة المجمعة,دورة تدريبية,الابداع والابتكار في بيئة العمل,3/8/2026,3/10/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0399
التأمينات الاجتماعية,ورشة عمل,مناقشة الأعمال الاكتوارية في الموسسة التأمينات الاجتماعية,2/16/2026,2/16/2026,فنادق,"فندق وريزيدنس موفنبيك الرياض ، الدائري الشمالي ، حي الغدير ، مخرج ٤، مدينة الرياض",الرياض,GOV-2026-0400
المجلس الصحي السعودي,دورة تدريبية,البرنامج التدريبي للحسابات الصحية الوطنية,2/8/2026,2/12/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0407
وزارة التعليم,ورشة عمل,مدرات الأداء ضمن مسارات برنامج كفاءة الأداء واستدامة الأثر,2/9/2026,2/9/2026,فنادق,فندق ميلينيوم فندق المسار,جدة,GOV-2026-0408
الاكاديمية السعودية اللوجستية,دورة تدريبية,إدارة النقل,2/9/2026,2/12/2026,فنادق,فندق سنترو شاهين جدة من روتانا جدة,جدة,GOV-2026-0410
الاكاديمية السعودية اللوجستية,دورة تدريبية,إدارة المخزون,2/8/2026,2/12/2026,فنادق,فندق سوفيتل كورنيش الخبر,الخبر,GOV-2026-0411
الاكاديمية السعودية اللوجستية,دورة تدريبية,إدارة سلاسل التوريد,2/8/2026,2/12/2026,فنادق,فندق سوفيتل كورنيش الخبر.,الخبر,GOV-2026-0412
الاكاديمية السعودية اللوجستية,دورة تدريبية,إدارة عمليات المستودعات,2/8/2026,2/12/2026,فنادق,فندق سنترو شاهين جدة من روتانا.,جدة,GOV-2026-0413
معهد الاستشارات وحلول الاعمال,ورشة عمل,ورشة عمل,2/10/2026,2/12/2026,فنادق,فندق فيتوري بلاس,الرياض,GOV-2026-0420
جامعة المجمعة,دورة تدريبية,إعداد التقارير بإستخدام Power BI,3/8/2026,3/10/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0426
جامعة المجمعة,دورة تدريبية,الابداع والابتكار في العمل,2/22/2026,2/24/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0427
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,ورشة عمل قطاع التواصل,2/9/2026,2/9/2026,فنادق,فندق كروان بلازة,مكة المكرمة,GOV-2026-0431
الهيئة السعودية للمياه,ورشة عمل,منهجية التحقيق في الحوادث,2/10/2026,2/10/2026,فنادق,فندق موفينبيك الرياض,الرياض,GOV-2026-0434
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها,اجتماع,لقاءات واجتماعات بمنطقة مكة المكرمة,2/9/2026,2/9/2026,فنادق,فندق اريديوم - الطائف,الطائف,GOV-2026-0437
الاتحاد السعودي للدراجات,اجتماع,اجتماع الاتحاد الاسيوي الكونغرس,2/12/2026,2/13/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0440
أمانة المنطقة الشرقية,ورشة عمل,ورشة عمل تفاعلية لتطبيق الموجهات التصميمية للعمارات المعتمدة بالمنطقة الشرقية,2/10/2026,2/11/2026,فنادق,قاعة فندق الشيراتون بالدمام,الدمام,GOV-2026-0442
الهيئة الملكية,ورشة عمل,جودة الحياة الاسرية بمدينة الجبيل,2/10/2026,2/10/2026,غرف اجتماعات مستقله,قاعة النادي البحري بالهيئة الملكية بالجبيل,الجبيل الصناعية,GOV-2026-0443
الأمانة العامة لمجلس شؤون الجامعات,ورشة عمل,مشاريع البحث والابتكار في مبادرة ريادة الجامعات,2/16/2026,2/16/2026,مراكز معارض و مؤتمرات,"قاعة ""حوار"" للمؤتمرات في مركز الملك عبدالعزيز للتواصل الحضاري",الرياض,GOV-2026-0445
المعهد الوطني للتطوير المهني التعليمي,ورشة عمل,بناء الثقافة المؤسسية للمعهد الوطني,2/11/2026,2/11/2026,فنادق,فندق ماريوت الرياض حي السفارات,الرياض,GOV-2026-0449
جامعة الملك سعود,ورشة عمل,زمالة أهّل,2/14/2026,2/14/2026,فنادق,فندق ماندارين الفيصلية,الرياض,GOV-2026-0452
