اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
مدينة الملك سعود الطبية,معرض توعوي,اليوم العالمي للهيموفيليا,4/25/2026,4/25/2026,مراكز تجارية,مركز صحاى مول,الرياض,GOV-2026-0808
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجلس الإدارة  الوحدة الثالثة مجلس الإدارة الفعّال,4/27/2026,4/28/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0809
الاكاديمية المالية,دورة تدريبية,برنامج سكرتير مجلس الإدارة المعتمد  الوحدة الثانية أعضاء مجلس الإدارة,5/4/2026,5/7/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0810
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجلس الإدارة  أساسيات الحوكمة المؤسسية,5/11/2026,5/12/2026,فنادق,فندق لو ميريديان الرياض,الرياض,GOV-2026-0811
الاكاديمية المالية,دورة تدريبية,دبلوم في عضوية مجلس الإدارة  الوحدة الأولى قيادة مجلس الإدارة,5/13/2026,5/14/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0812
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجلس الإدارة  الوحدة الرابعة تمويل مجلس الإدارة المحاسبة والتقارير المؤسسية,5/18/2026,5/19/2026,فنادق,فندق لو ميريديان الرياض,الرياض,GOV-2026-0813
الاكاديمية المالية,دورة تدريبية,برنامج سكرتير مجلس الإدارة المعتمد المساهمون وأصحاب المصلحة الآخرون,5/18/2026,5/21/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0814
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل الرؤى التطويرية  لعمليات التقويم المدرسي,4/26/2026,4/26/2026,فنادق,موفنبيك  القصيم,بريدة,GOV-2026-0815
مركز دعم اتخاذ القرار,ورشة عمل,تحليل القرار المتعدد و تحليل البدائل وتقييم الخيارات,4/21/2026,4/28/2026,فنادق,فندق الموفينبك,الرياض,GOV-2026-0816
الهيئة السعودية للتخصصات الصحية,ورشة عمل,ورشة عمل متقدمة في المهارات الأساسية للاستعداد لبرنامج الإقامة في البورد السعودي,4/29/2026,4/30/2026,فنادق,"بارك إن باي راديسون، طريق المدينة المنورة",جدة,GOV-2026-0818
الاتحاد السعودي للإعلام الرياضي,ورشة عمل,ورشة عمل صناعة المحتوى الرياضي,4/29/2026,4/30/2026,فنادق,فندق هوليدي ان اند سويتس الخبر,الخبر,GOV-2026-0820
وزارة الموارد البشرية والتنمية الاجتماعية,معرض توعوي,انورت٢,5/16/2026,6/14/2026,صالات المناسبات,قاعة مكة الكبرى النسيم,مكة المكرمة,GOV-2026-0821
وزارة الحرس الوطني,دورة تدريبية,القيادة عالية الآداء,4/26/2026,4/30/2026,فنادق,نارسيس رويال,الرياض,GOV-2026-0823
وزارة الثقافة,ورشة عمل,ورشة عمل للتعريف بنظام الآثار والتراث العمراني لمدراء الجهات الحكومية بمنطقة القصيم,4/28/2026,4/28/2026,فنادق,فندق موفنبيك / بريدة / طريق الملك خالد,بريدة,GOV-2026-0824
نادي الصقور السعودي,معرض تعريفي,مهرجان اللك عبدالعزيز للصقور,11/17/2026,11/30/2026,مراكز معارض و مؤتمرات,مركز الرياض للمعارض والمؤتمرات-ملهم,الرياض,GOV-2026-0825
وازرة الدفاع,منتدى,المنتدى الأول للتاريخ العسكري السعودي,9/22/2026,9/23/2026,غرف اجتماعات مستقله,جامعة الطائف,الطائف,GOV-2026-0826
نادي الصقور السعودي,معرض تعريفي,كأس نادي الصقور السعودي,12/21/2026,12/28/2026,مراكز معارض و مؤتمرات,مركز الظهران للمعارض والمؤتمرات,الخبر,GOV-2026-0827
جامعة طيبة,معرض توعوي,أنفاس صغيره,5/1/2026,5/1/2026,مراكز تجارية,العالية مول,المدينة المنورة,GOV-2026-0829
جامعة الفيصل,معرض توعوي,كن المستجيب الأول Be the first responder,5/7/2026,5/7/2026,مراكز تجارية,حياة مول,الرياض,GOV-2026-0830
سدايا,دورة تدريبية,تصنيف البيانات,4/26/2026,4/26/2026,فنادق,فوكو,الرياض,GOV-2026-0831
وزارة الصحة,ورشة عمل,ورشة عمل وكالة الوزارة للأمداد والشؤون الهندسية,4/29/2026,4/29/2026,فنادق,فوكو,الرياض,GOV-2026-0833
برنامج مستشفى قوى الأمن الرياض,اجتماع,International Nursing day اليوم العالمي للتمريض,5/15/2026,5/15/2026,فنادق,فندق الشيراتون - طريق الملك عبدالله - الرياض,الرياض,GOV-2026-0834
جامعة الملك سعود,ورشة عمل,الحوكمه الأكاديميه والتكامل المؤسسي بين الكليات والعمادات المساندة,5/7/2026,5/7/2026,فنادق,فندق هيلتون العليا,الرياض,GOV-2026-0835
جامعة القصيم,معرض توعوي,حملة الجراحة,4/30/2026,4/30/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0836
جامعة القصيم,معرض توعوي,قلبك حياتك احمِ شباب قلبك,5/1/2026,5/1/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0837
الهيئة السعودية للمقيمين المعتمدين,دورة تدريبية,دورات تدريبية لمناهج الهيئة السعودية للمقيّمين المعتمدين,4/26/2026,4/30/2026,فنادق,فندق التنفيذيين الفندقية,الرياض,GOV-2026-0838
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليلات البيانات باستخدام الذكاء الاصطناعي,5/3/2026,5/5/2026,فنادق,فوكو,الخبر,GOV-2026-0839
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,مهارات  التحري والكشف على الأحشاء,6/14/2026,6/16/2026,فنادق,فوكو,الخبر,GOV-2026-0840
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,مكافحة التهريب الجمركي,6/17/2026,6/18/2026,فنادق,فوكو,الخبر,GOV-2026-0841
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,الكشف عن المخدرات الشحن الجوي,6/21/2026,6/23/2026,فنادق,فوكو,الخبر,GOV-2026-0842
هيئة الزكاة والضريبة,دورة تدريبية,الأساليب الحديثة لاستهداف المسافرين,6/24/2026,6/25/2026,فنادق,فوكو,الخبر,GOV-2026-0843
جامعة نجران,دورة تدريبية,لغة الجسد في الملاحظات الامنية,4/28/2026,4/30/2026,فنادق,جدة - راديسون بلو السلام,جدة,GOV-2026-0846
جامعة نجران,دورة تدريبية,ادارة المخزون والمستودعات المتكامل,4/28/2026,4/30/2026,فنادق,جدة - راديسون بلو السلام,جدة,GOV-2026-0847
جامعة الأميرة نورة بنت عبدالرحمن,مؤتمر,الملتقى الطلابي تمكين الخامس للبحث والابتكار,5/5/2026,5/6/2026,مراكز معارض و مؤتمرات,مركز المؤتمرات والندوات بجامعة الأميرة نورة بنت عبدالرحمن,الرياض,GOV-2026-0850
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجالس الإدارة الوحدة الثالثة المجلس الفعّال,4/27/2026,4/28/2026,فنادق,فندق لو ميريديان,الرياض,GOV-2026-0852
الهيئة العامة للتطوير الدفاعي,منتدى,منتدى جسر,5/18/2026,5/19/2026,فنادق,فيرمونت الرياض,الرياض,GOV-2026-0853
الاتحاد السعودي للريشة الطائرة,ورشة عمل,مناقشة الخطة الاستراتيجية للاتحاد,4/29/2026,4/29/2026,فنادق,فندق دبل تري هيلتون - المركز المالي,الرياض,GOV-2026-0854
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,ورشة عمل قطاع الاستراتيجية,4/29/2026,4/30/2026,فنادق,رديسون بلو الحمراء,جدة,GOV-2026-0856
جامعة الملك عبدالله للعلوم و التقنية,مؤتمر,اكتشف كاوست,5/17/2026,5/17/2026,مرافق عامة,غرفة جدة التجارية,جدة,GOV-2026-0857
جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,ندوة,الندوة الأولى للغسيل الكلوي للأطباء والتمريض في مستشفى الملك سلمان التخصصي بالطائف,6/19/2026,6/20/2026,فنادق,فندق اريديوم - الطائف,الطائف,GOV-2026-0860
هيئة تطوير محمية الملك عبدالعزيز الملكية,ورشة عمل,القاء الختامي لموسم الطوقي,5/4/2026,5/4/2026,فنادق,فندق هيلتون العليا,الرياض,GOV-2026-0863
وزارة البيئة والمياه والزراعة,ورشة عمل,استراتيجية تعزيز مساهمة القطاع الثالث,4/29/2026,4/29/2026,فنادق,فندق رايدسون بلو,الرياض,GOV-2026-0864
الاكاديمية المالية,دورة تدريبية,التقنيات المالية الناشئة,5/3/2026,5/6/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0866
الاكاديمية المالية,دورة تدريبية,تصميم الرسوم البيانية بالأكسل,5/5/2026,5/7/2026,فنادق,فند موفنبيك الرياض,الرياض,GOV-2026-0867
الاكاديمية المالية,دورة تدريبية,تحليل الأداء المالي واتخاذ القرارات,5/5/2026,5/7/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0868
الاكاديمية المالية,دورة تدريبية,برنامج مهارات العرض والتقديم,5/5/2026,5/7/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0869
الاكاديمية المالية,دورة تدريبية,شهادة ممار س الحوكمة والمخاطر والامتثال بالذكاء الاصطناعي,5/3/2026,5/7/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0870
مركز مشاريع البنية التحتية بمنطقة الرياض,منتدى,منتدى دعم المشاريع والأحداث الكبرى,4/29/2026,4/29/2026,فنادق,فندق الموڤنبيك,الرياض,GOV-2026-0871
صندوق تنمية الموارد البشرية,معرض تعريفي,لقاءات تبوك,5/10/2026,5/13/2026,مراكز معارض و مؤتمرات,مركز واجهة الشمال للمعارض والمؤتمرات,تبوك,GOV-2026-0872
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,روح الزكاة في المحاسبة,5/3/2026,5/5/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0873
الهيئة السعودية للمواصفات والمقاييس والجودة,دورة تدريبية,البرنامج التدريبي المقيم الداخلي لجائزة الملك عبدالعزيز للجودة,5/3/2026,5/7/2026,فنادق,فندق فوكو الخبر,الخبر,GOV-2026-0874
جامعة المجمعة,دورة تدريبية,بناء المبادرات التنموية في ضوء أهداف التنمية المستدامة,5/3/2026,5/7/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0876
الاكاديمية المالية,دورة تدريبية,برنامج سكرتير مجلس الإدارة المعتمد الوحدة الثانية أعضاء مجلس الإدارة,5/4/2026,5/7/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0877
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجالس الإدارة  أساسيات حوكمة الشركات,5/11/2026,5/12/2026,فنادق,فندق لو ميريديان,الرياض,GOV-2026-0878
الاكاديمية المالية,دورة تدريبية,دبلوم في عضوية مجالس الإدارة  الوحدة الأولى قيادة مجلس الإدارة,5/13/2026,5/14/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0879
الاكاديمية المالية,دورة تدريبية,برنامج سكرتير مجلس الإدارة المعتمد المساهمون وأصحاب المصلحة الآخرون,5/18/2026,5/21/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0881
الاكاديمية المالية,دورة تدريبية,شهادة في عضوية مجالس الإدارة  الوحدة الرابعة المالية والمحاسبة والتقارير المؤسسية للمجلس,5/18/2026,5/19/2026,فنادق,فندق لو ميريديان,الرياض,GOV-2026-0883
ديوان المظالم,دورة تدريبية,الأمن المؤسسي وإدارة المخاطر,5/3/2026,5/4/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0884
ديوان المظالم,دورة تدريبية,نظام المعاملات المدنية,5/3/2026,5/7/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0885
البرنامج الوطني لتطوير قطاع الثروة الحيوانية والسمكية,ورشة عمل,نحو مزارع أكثر انتاجية,5/4/2026,5/5/2026,فنادق,فندق دبل تري من هيلتون المركز المالي,الرياض,GOV-2026-0886
ديوان المظالم,دورة تدريبية,الصياغة المتقدمة للأحكام القضائية,5/4/2026,5/6/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0887
ديوان المظالم,دورة تدريبية,بناء الحقائب التدريبية,5/4/2026,5/7/2026,فنادق,بريرا أبها,ابها,GOV-2026-0888
الهيئة السعودية للتخصصات الصحية,ورشة عمل,ورشة عمل شاملة في طب أسنان الأطفال لمتدربي برنامج البورد السعودي في طب أسنان الأطفال,6/9/2026,6/9/2026,فنادق,فندق إنتركونتيننتال – طريق الملك سعود – مقابل وزارة الداخلية,الرياض,GOV-2026-0889
ديوان المظالم,دورة تدريبية,السلامة والصحة المهنية,5/5/2026,6/7/2026,فنادق,ورويك الخبر,الخبر,GOV-2026-0890
الأمانة العامة للجنة الوزارية للسلامة المرورية,اجتماع,اجتماع فريق مهمة موسم الحج,5/21/2026,5/25/2026,فنادق,فندق راديسون بلو السلام جدة,جدة,GOV-2026-0892
جامعة نجران,دورة تدريبية,تطوير ثقافة الابتكار وتعزيز بيئات العمل الإبداعية,5/5/2026,5/7/2026,فنادق,الرياض - راديسون بلو العليا,الرياض,GOV-2026-0893
جامعة نجران,دورة تدريبية,مهارات التواصل الفعال في بيئة المشاريع,5/5/2026,5/7/2026,فنادق,الخبر - هيلتون جارد ان,الخبر,GOV-2026-0894
جامعة نجران,دورة تدريبية,الإدارة الابتكارية للاداء الاستثمار الفعال للوقت,5/5/2026,5/7/2026,فنادق,جدة - راديسون بلو السلام,جدة,GOV-2026-0895
جامعة الامام محمد بن سعود الاسلامية,دورة تدريبية,الانظمة واللوائح في نظام الخدمة المدنية,5/3/2026,5/7/2026,فنادق,عابر,الرياض,GOV-2026-0896
جامعة الملك خالد,دورة تدريبية,التخطيط المالي وإعداد الميزانيه,5/3/2026,5/14/2026,فنادق,فندق غاليريا,جدة,GOV-2026-0897
جامعة الامام محمد بن سعود الاسلامية,دورة تدريبية,القيادة المتقدمة وبناء فريق العمل,5/10/2026,5/14/2026,فنادق,عابر,الرياض,GOV-2026-0898
الاتحاد السعودي للرياضات البحرية والغوص,اجتماع,إجتماع فريق الإتحاد السعودي للرياضات البحرية والغوص,5/6/2026,5/6/2026,غرف اجتماعات مستقله,ذا فينيو كورنيش جدة,جدة,GOV-2026-0899
جامعة طيبة,معرض تعريفي,البحث العلمي في الأبحاث التمريضية وتميز الرعاية السريرية,5/10/2026,5/10/2026,مراكز معارض و مؤتمرات,جامعة طيبة,المدينة المنورة,GOV-2026-0900
وزارة الصحة,ورشة عمل,التواصل والإعلام لفروع الوزارة,5/7/2026,5/7/2026,فنادق,فندق فيتوري بالاس - العروبة,الرياض,GOV-2026-0901
المركز السعودي لكفاءة الطاقة,دورة تدريبية,مدير طاقه معتمد,5/3/2026,5/7/2026,فنادق,فندق هيلتون كولكشن جدة,جدة,GOV-2026-0902
أمانة منطقة الرياض,ورشة عمل,الرياض تتطوع,5/11/2026,5/11/2026,فنادق,‏فندق ريتز كارلتون الرياض‏,الرياض,GOV-2026-0903
جامعة الملك خالد,دورة تدريبية,منصة اعتماد,5/10/2026,5/21/2026,فنادق,فندق غاليريا,جدة,GOV-2026-0904
وزارة البيئة والمياه والزراعة,دورة تدريبية,دورة المحترف المعتمد في مؤشرات الأداء,5/3/2026,5/5/2026,فنادق,فندق فيتوري بالاس,الرياض,GOV-2026-0907
وزارة البيئة والمياه والزرعة,دورة تدريبية,الشهادة الدولية العامة في الصحة والسلامة المهنية,5/3/2026,5/7/2026,فنادق,فندق فيتوري بالاس,الرياض,GOV-2026-0908
هيئة تقويم التعليم والتدريب,ورشة عمل,مراجع اعتماد المنشأت التدريبية,5/3/2026,5/7/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0909
وزارة الموارد البشرية والتنمية الاجتماعية,معرض توعوي,معرض مبادرة انورت,5/31/2026,6/16/2026,مراكز تجارية,جبل ثور الثقافي بحي الهجرة,مكة المكرمة,GOV-2026-0911
المركز الوطني للرقابة على الالتزام البيئي,ورشة عمل,ورشة خطة إدارة التخلص التدريجي من مركبات الكربون الهيدروكلورو فلورية,5/5/2026,5/7/2026,فنادق,فندق هيلتون الرياض والشقق الفندقية,الرياض,GOV-2026-0912
هيئة الادب والنشر والترجمة,اجتماع,فندق ايدج روتانا,5/10/2026,5/14/2026,مراكز معارض و مؤتمرات,قاعة الرئيسية - فندق ايدج روتانا,الرياض,GOV-2026-0913
هيئة تقويم التعليم والتدريب,ورشة عمل,رخص المعلمين مسائي,5/10/2026,5/11/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0916
هيئة تقويم التعليم والتدريب,ورشة عمل,برنامج اخصائي تقويم مدرسي,5/10/2026,5/11/2026,فنادق,فندق بريرا - ابها,ابها,GOV-2026-0918
هيئة تقويم التعليم والتدريب,ورشة عمل,فنيات كتابة الاسئلة جاهزية مهندسين  مسائي,5/6/2026,5/7/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0921
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة فنيات كتابة الاسئلة جاهزية,5/13/2026,5/14/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0922
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل الرؤى التطويرية لعمليات التقويم والتصنيف والاعتماد المدرسي,5/10/2026,5/11/2026,فنادق,فندق دانه المنسك قاعة كريستال,ابها,GOV-2026-0923
مدينة الامير سلطان الطبية العسكرية,معرض توعوي,اسبوع التوعية باضطراب النطق والبلع,5/12/2026,5/14/2026,مراكز تجارية,بانوراما مول,الرياض,GOV-2026-0924
الهيئة السعودية للمقيّمين المعتمدين,دورة تدريبية,دورات مناهج الهيئة السعودية للمقيّمين المعتمدين,5/6/2026,5/21/2026,فنادق,فندق التنفيذيين الفندقية,الرياض,GOV-2026-0925
جامعة الملك فهد للبترول و المعادن,دورة تدريبية,الفولاثون مسابقة الابتكار في العمل التطوعي,5/11/2026,5/11/2026,فنادق,فندق جراند حياة,الخبر,GOV-2026-0926
الهيئة السعودية للمواصفات والمقاييس والجودة,دورة تدريبية,المقيم الداخلي وفق نموذج التميز لجائزة الملك عبدالعزيز للجودة,5/10/2026,5/14/2026,فنادق,دبل ترى المروج,الرياض,GOV-2026-0927
جامعة القصيم,معرض توعوي,اليوم العالمي للتصلب اللويحي,5/14/2026,5/14/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0928
جامعة القصيم,معرض توعوي,اليوم العالمي للصحة النفسية للام,5/7/2026,5/7/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0930
جامعة القصيم,معرض توعوي,حركتك سر صحتك,5/6/2026,5/6/2026,مراكز تجارية,منتجع سدرة فالي,الرس,GOV-2026-0931
الأكاديمية المالية,مؤتمر,مؤتمر ملتقى الاكاديمية المالية,10/7/2026,10/7/2026,فنادق,هيلتون غرناطه,الرياض,GOV-2026-0932
الجمعية التنموية النسائية بالرس,معرض توعوي,بنون لوعي تربوي لجيل رقمي,9/7/2026,9/9/2026,مرافق عامة,مركز الأمير سلطان الحضاري,الرس,GOV-2026-0933
برنامج استدامة الطلب على البترول,ورشة عمل,اجتماع فريق عمل تطوير تقنية نزع الكبريت من زيت الوقود الثقيل,5/6/2026,5/7/2026,فنادق,فندق موفنبيك الرياض - طريق الدائري الشمالي,الرياض,GOV-2026-0934
برنامج استدامة الطلب على البترول,ورشة عمل,تطوير حلول الكهرباء باستخدام المواد البوليمرية المستدامة,5/6/2026,5/6/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0935
جامعة القصيم,معرض توعوي,حركتك سر صحتك,5/6/2026,5/6/2026,مراكز تجارية,منتجع سدرة فالي,الرس,GOV-2026-0936
مدينة الملك سعود الطبية,معرض توعوي,فحصك اليوم أمانك لغدا,5/14/2026,5/14/2026,مراكز تجارية,مركز حياة مول,الرياض,GOV-2026-0937
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل  الرؤى التطويرية لعمليات التقويم والتصنيف والاعتماد المدرسي,5/10/2026,5/11/2026,فنادق,فندق بست ويسترن بلس,ابها,GOV-2026-0938
المدينة الطبية الجامعية,معرض توعوي,اليوم العالمي لصحة اللثة,5/15/2026,5/16/2026,مراكز تجارية,الحياة مول,الرياض,GOV-2026-0939
جامعة طيبة,معرض توعوي,حملة اكثر من مجرد انعكاس,5/15/2026,5/15/2026,مراكز تجارية,العالية مول,المدينة المنورة,GOV-2026-0942
معهد الإدارة  العامة,اجتماع,حفل الخريج والوظيفة,6/8/2026,6/8/2026,مراكز معارض و مؤتمرات,الصالات الخضراء,الرياض,GOV-2026-0943
جامعة طيبة,معرض توعوي,تجمل,5/7/2026,5/7/2026,مراكز تجارية,العالية مول,المدينة المنورة,GOV-2026-0944
المركز الوطني لقياس أداء الأجهزة الحكومية,ورشة عمل,ورشة عمل تحديث منهجيات تجربة المستفيد,5/13/2026,5/13/2026,فنادق,هولداي ان الازدهار,الرياض,GOV-2026-0945
جامعة  الملك خالد,دورة تدريبية,الاحتراف المتكامل في تطبيقات  Microsoft Office,5/10/2026,5/14/2026,فنادق,فندق هوليداي ان سويت,الخبر,GOV-2026-0946
جامعة الملك خالد,دورة تدريبية,لغة برمجة الويب التفاعلية Java Script,5/10/2026,5/21/2026,فنادق,فندق هوليداي ان اند سويت,الخبر,GOV-2026-0947
هيئة تقويم التعليم والتدريب,ورشة عمل,برنامج اخصائي التقويم,5/10/2026,5/11/2026,فنادق,فندق بريرا,ابها,GOV-2026-0948
المركز السعودي لكفاءة الطاقة,دورة تدريبية,أخصائي طاقة أعمال معتمد BEP,5/10/2026,5/14/2026,فنادق,فندق كراون بلازا,الرياض,GOV-2026-0949
الاكاديمية السعودية اللوجستية,دورة تدريبية,دورة الصحة والسلامة المهنية,5/10/2026,5/21/2026,فنادق,سوفتيل الخبر,الخبر,GOV-2026-0950
وزارة الثقافة,اجتماع,مبادرات هيئة التراث في فلم مغمور,5/13/2026,5/13/2026,مرافق عامة,جدة التاريخية / ميدان الثقافة,جدة,GOV-2026-0951
تجمع تبوك الصحي,معرض توعوي,شهر التوعية بالسيلياك,5/16/2026,5/16/2026,مرافق عامة,حديقة الشفاء,تيماء,GOV-2026-0952
المركز الوطني للفعاليات,دورة تدريبية,تحليل البيانات,5/17/2026,5/19/2026,فنادق,كافد,الرياض,GOV-2026-0953
برنامج خدمة ضيوف الرحمن,ورشة عمل,لقاء القادة الميدانيين لموسم الحج,5/11/2026,5/11/2026,فنادق,فندق شانغيرلا جدة,جدة,GOV-2026-0954
الهيئة الملكية بالجبيل,دورة تدريبية,تطوير مهارات التحدث باللغة الانجليزية,5/11/2026,5/11/2026,غرف اجتماعات مستقله,النادي الشبابي  - الهيئة الملكية,الجبيل الصناعية,GOV-2026-0955
الهيئة الملكية,دورة تدريبية,اسرتي سعادتي,5/11/2026,5/14/2026,غرف اجتماعات مستقله,النادي الشبابي - الهيئة الملكية,الجبيل الصناعية,GOV-2026-0956
جامعة الملك سعود,ندوة,اقتصاديات المدن الخليجية وتمكين القطاع الخاص نحو مدن ذكية رقمية,5/19/2026,5/19/2026,مراكز معارض و مؤتمرات,مركز الاحساء للمعارض,الأحساء,GOV-2026-0957
المؤسسة العاملة للتامينات الجتماعية,دورة تدريبية,الردود الخدمية الذكية في إدارة التفاعل,5/19/2026,5/21/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0958
الهيئة الملكية,ورشة عمل,لقاء مجلس الجمعيات الاهلية بالشرقية مع الجمعيات الاهلية,5/12/2026,5/12/2026,غرف اجتماعات مستقله,النادي البحري - الهيئة الملكية,الجبيل الصناعية,GOV-2026-0959
الهيئة الملكية للجبيل وينبع,دورة تدريبية,خمس اساسيات لاجتيار اختبار الستيب,5/12/2026,5/12/2026,غرف اجتماعات مستقله,النادي الشبابي,الجبيل الصناعية,GOV-2026-0960
الهيئة الملكية للجبيل وينبع,ورشة عمل,برنامج تنافسية القطاع الصناعي,5/13/2026,5/13/2026,مراكز معارض و مؤتمرات,مركز الملك فهد الحضاري,ينبع الصناعية,GOV-2026-0961
جامعة القصيم,معرض توعوي,افهم مناعتك أحمِ صحتك,5/13/2026,5/13/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0962
الهيئة السعودية للبيانات والذكاء الاصطناعي,ورشة عمل,مدرب لقيادة فريق,5/5/2026,5/5/2026,فنادق,فندق المشرق,الرياض,GOV-2026-0964
هيئة حقوق الإنسان,ندوة,التنوع الثقافي وحقوق الإنسان نحو عالم يتسع للجميع,5/21/2026,5/21/2026,مرافق عامة,النادي الادبي الثقافي بمحافظة جدة,جدة,GOV-2026-0965
البرنامج السعودي لتنمية وإعمار اليمن,اجتماع,الحوار رفيع المستوى حول قطاع الكهرباء في اليمن,5/11/2026,5/12/2026,فنادق,فندق كورت يارد باي ماريوت حي السفارات,الرياض,GOV-2026-0966
جامعة القصيم,معرض توعوي,التوعية بامراض السرطان,5/14/2026,5/14/2026,مراكز تجارية,مركز الملك خالد الحضاري,بريدة,GOV-2026-0968
مدينة الملك سعود الطبية,معرض توعوي,توعية مرضى أمراض الأمعاء الالتهابية,5/19/2026,5/19/2026,مراكز تجارية,بانوراما,الرياض,GOV-2026-0969
الهيئة العامة للطيران المدني,اجتماع,اجتماع اللجنة التوجيهية لبرنامج قطاع الطيران,5/14/2026,5/14/2026,فنادق,فندق الريتز كارلتون,الرياض,GOV-2026-0970
وزاره البلديات والاسكان,ورشة عمل,الشهر الدولي للتوعيه بالمراجعه الداخليه,5/17/2026,5/17/2026,فنادق,فندق نارسيس,الرياض,GOV-2026-0972
إمارة منطقة القصيم,معرض توعوي,نبض التطوعية,5/14/2026,5/20/2026,مرافق عامة,مدينة الحجاج بمدينة بريدة,بريدة,GOV-2026-0973
الهيئة السعودية للمياه,مؤتمر,المؤتمر العالمي لتحلية المياه وإعادة إستخدامها,11/1/2026,11/5/2026,مراكز معارض و مؤتمرات,مركز الملك فيصل للمؤتمرات - الانتركونتيننتال,الرياض,GOV-2026-0974
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,ورشة عمل اللقاء الربعي للشؤون الاقتصادية,5/14/2026,5/14/2026,فنادق,جي دبليو ماريوت,الرياض,GOV-2026-0975
البرنامج السعودي لتنمية وإعمار اليمن,اجتماع,اجتماع قطاع الصحة في اليمن,5/13/2026,5/13/2026,فنادق,فندق ماريوت الحي الدبلوماسي,الرياض,GOV-2026-0976
الجمعية السعودية الخيرية لمرضى الكبد,معرض توعوي,ضيوف الرحمن,5/16/2026,5/16/2026,مراكز تجارية,متحف وبستان الصافية,المدينة المنورة,GOV-2026-0980
وزارة الاقتصاد والتخطيط,ورشة عمل,نماذج اقتثادية,5/18/2026,5/21/2026,فنادق,فندق هلتون غرناطة,الرياض,GOV-2026-0982
جامعة المجمعة,دورة تدريبية,بناء المبادرات التنموية في ضوء أهداف التنمية المستدامة,5/17/2026,5/21/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0985
الأتحاد السعودي لكرة القدم,ورشة عمل,FIFA ورشة عمل,5/20/2026,5/21/2026,فنادق,فندق جي دبليوماريةت,الرياض,GOV-2026-0988
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل الرؤى التطويرية لعمليات التقويم والتصنيف والاعتماد,5/17/2026,5/18/2026,فنادق,فندق الموفنبيك,الخبر,GOV-2026-0989
مستشفى أملج العام,معرض تعريفي,اليوم العالمي للتمريض,5/19/2026,5/19/2026,فنادق,فندق ويفز,أملج,GOV-2026-0990
وزارة النقل والخدمات اللوجستية,دورة تدريبية,التفكير التصميمي,6/14/2026,6/16/2026,فنادق,راديسون بلو الكورنيش,جدة,GOV-2026-0991
